animal_id_outcome,outcome_type
A723133,Return to Owner
A723134,Adoption
A723135,Transfer
A723136,Transfer
A723137,Transfer
A723138,Return to Owner
A723139,Transfer
A723140,Return to Owner
A723141,Adoption
A723142,Transfer
A723143,Adoption
A723146,Adoption
A723146,Return to Owner
A723147,Adoption
A723148,Transfer
A723149,Adoption
A723151,Return to Owner
A723152,Adoption
A723152,Adoption
A723152,Adoption
A723153,Transfer
A723156,Euthanasia
A723157,Adoption
A723158,Adoption
A723159,Euthanasia
A723160,Return to Owner
A723174,Euthanasia
A723178,Return to Owner
A723179,Return to Owner
A723180,Return to Owner
A723182,Return to Owner
A723184,Adoption
A723185,Adoption
A723185,Return to Owner
A723187,Return to Owner
A723188,Return to Owner
A723188,Return to Owner
A723189,Transfer
A723190,Adoption
A723191,Adoption
A723192,Euthanasia
A723193,Return to Owner
A723194,Transfer
A723195,Adoption
A723198,Transfer
A723198,Return to Owner
A723198,Return to Owner
A723199,Return to Owner
A723200,Transfer
A723201,Euthanasia
A723203,Adoption
A723204,Return to Owner
A723206,Adoption
A723211,Adoption
A723213,Euthanasia
A723215,Transfer
A723217,Transfer
A723218,Adoption
A723219,Adoption
A723220,Adoption
A723221,Return to Owner
A723222,Euthanasia
A723223,Euthanasia
A723224,Euthanasia
A723225,Euthanasia
A723226,Euthanasia
A723228,Euthanasia
A723229,Euthanasia
A723230,Euthanasia
A723231,Euthanasia
A723232,Return to Owner
A723232,Return to Owner
A723234,Euthanasia
A723240,Transfer
A723241,Adoption
A723244,Adoption
A723249,Euthanasia
A723250,Return to Owner
A723250,Return to Owner
A723251,Return to Owner
A723251,Adoption
A723252,Return to Owner
A723252,Adoption
A723254,Adoption
A723254,Adoption
A723255,Euthanasia
A723259,Adoption
A723260,Return to Owner
A723264,Adoption
A723265,Return to Owner
A723266,Adoption
A723267,Return to Owner
A723268,Transfer
A723269,Adoption
A723269,Return to Owner
A723271,Adoption
A723272,Adoption
A723272,Adoption
A723273,Transfer
A723274,Transfer
A723276,Return to Owner
A723278,Return to Owner
A723280,Adoption
A723281,Return to Owner
A723284,Adoption
A723285,Return to Owner
A723288,Transfer
A723289,Euthanasia
A723293,Adoption
A723295,Euthanasia
A723296,Euthanasia
A723297,Adoption
A723298,Euthanasia
A723300,Adoption
A723301,Euthanasia
A723302,Adoption
A723303,Euthanasia
A723304,Euthanasia
A723305,Euthanasia
A723308,Euthanasia
A723310,Adoption
A723311,Transfer
A723312,Return to Owner
A723314,Transfer
A723316,Transfer
A723317,Transfer
A723319,Adoption
A723320,Adoption
A723322,Adoption
A723323,Return to Owner
A723327,Euthanasia
A723329,Adoption
A723330,Euthanasia
A723333,Adoption
A723334,Adoption
A723334,Return to Owner
A723336,Transfer
A723337,Adoption
A723338,Adoption
A723339,Adoption
A723339,Adoption
A723339,Adoption
A723340,Adoption
A723340,Adoption
A723340,Adoption
A723341,Adoption
A723342,Adoption
A723343,Transfer
A723344,Adoption
A723345,Adoption
A723346,Return to Owner
A723347,Transfer
A723348,Transfer
A723349,Adoption
A723350,Adoption
A723351,Return to Owner
A723352,Euthanasia
A723354,Adoption
A723355,Return to Owner
A723360,Adoption
A723361,Return to Owner
A723366,Adoption
A723367,Adoption
A723368,Adoption
A723369,Adoption
A723370,Euthanasia
A723373,Euthanasia
A723384,Transfer
A723385,Return to Owner
A723386,Return to Owner
A723387,Adoption
A723388,Adoption
A723390,Adoption
A723391,Transfer
A723392,Euthanasia
A723393,Euthanasia
A723394,Transfer
A723395,Transfer
A723396,Euthanasia
A723397,Euthanasia
A723398,Euthanasia
A723399,Euthanasia
A723400,Euthanasia
A723402,Return to Owner
A723404,Return to Owner
A723405,Transfer
A723406,Adoption
A723409,Transfer
A723410,Adoption
A723411,Transfer
A723412,Return to Owner
A723414,Euthanasia
A723415,Adoption
A723416,Adoption
A723417,Adoption
A723418,Adoption
A723419,Adoption
A723421,Adoption
A723422,Adoption
A723424,Transfer
A723425,Adoption
A723428,Return to Owner
A723430,Adoption
A723431,Adoption
A723432,Adoption
A723435,Return to Owner
A723436,Adoption
A723440,Transfer
A723441,Transfer
A723442,Transfer
A723443,Transfer
A723444,Transfer
A723449,Transfer
A723452,Adoption
A723453,Return to Owner
A723453,Return to Owner
A723453,Adoption
A723454,Return to Owner
A723455,Adoption
A723456,Return to Owner
A723458,Adoption
A723460,Return to Owner
A723461,Return to Owner
A723464,Transfer
A723465,Adoption
A723466,Adoption
A723467,Euthanasia
A723468,Adoption
A723470,Return to Owner
A723471,Euthanasia
A723474,Euthanasia
A723476,Transfer
A723477,Adoption
A723478,Adoption
A723479,Return to Owner
A723483,Return to Owner
A723484,Adoption
A723485,Return to Owner
A723490,Euthanasia
A723492,Adoption
A723493,Adoption
A723494,Adoption
A723496,Adoption
A723497,Adoption
A723499,Transfer
A723501,Adoption
A723503,Return to Owner
A723506,Return to Owner
A723508,Adoption
A723511,Adoption
A723512,Adoption
A723512,Adoption
A723513,Return to Owner
A723515,Adoption
A723518,Adoption
A723519,Transfer
A723521,Return to Owner
A723522,Transfer
A723523,Transfer
A723524,Return to Owner
A723528,Adoption
A723529,Adoption
A723530,Adoption
A723531,Transfer
A723532,Euthanasia
A723534,Euthanasia
A723535,Transfer
A723539,Adoption
A723542,Adoption
A723543,Return to Owner
A723544,Return to Owner
A723545,Adoption
A723546,Adoption
A723547,Adoption
A723548,Adoption
A723549,Adoption
A723550,Adoption
A723551,Adoption
A723557,Transfer
A723558,Adoption
A723558,Adoption
A723558,Adoption
A723559,Transfer
A723559,Adoption
A723560,Return to Owner
A723561,Adoption
A723565,Transfer
A723566,Return to Owner
A723567,Return to Owner
A723569,Adoption
A723570,Transfer
A723571,Transfer
A723572,Transfer
A723573,Transfer
A723574,Transfer
A723575,Adoption
A723575,Return to Owner
A723577,Adoption
A723578,Euthanasia
A723579,Adoption
A723579,Adoption
A723580,Adoption
A723581,Adoption
A723582,Adoption
A723582,Adoption
A723583,Adoption
A723584,Adoption
A723585,Adoption
A723586,Return to Owner
A723587,Transfer
A723588,Return to Owner
A723589,Return to Owner
A723590,Transfer
A723591,Transfer
A723592,Transfer
A723593,Transfer
A723594,Transfer
A723595,Transfer
A723596,Transfer
A723597,Euthanasia
A723599,Euthanasia
A723606,Adoption
A723609,Return to Owner
A723610,Adoption
A723611,Adoption
A723612,Adoption
A723613,Return to Owner
A723617,Return to Owner
A723619,Transfer
A723620,Euthanasia
A723621,Return to Owner
A723622,Euthanasia
A723623,Euthanasia
A723624,Euthanasia
A723625,Euthanasia
A723626,Adoption
A723627,Adoption
A723629,Transfer
A723630,Adoption
A723631,Adoption
A723632,Return to Owner
A723632,Adoption
A723633,Adoption
A723634,Adoption
A723635,Adoption
A723636,Adoption
A723638,Adoption
A723641,Transfer
A723641,Adoption
A723642,Transfer
A723643,Return to Owner
A723643,Transfer
A723644,Return to Owner
A723645,Adoption
A723647,Adoption
A723653,Return to Owner
A723653,Adoption
A723656,Adoption
A723657,Euthanasia
A723659,Adoption
A723660,Transfer
A723662,Transfer
A723664,Transfer
A723665,Transfer
A723666,Transfer
A723667,Transfer
A723668,Transfer
A723670,Adoption
A723671,Transfer
A723672,Transfer
A723673,Transfer
A723674,Transfer
A723675,Transfer
A723676,Euthanasia
A723677,Adoption
A723678,Adoption
A723679,Adoption
A723680,Adoption
A723681,Adoption
A723682,Adoption
A723683,Adoption
A723684,Adoption
A723685,Adoption
A723686,Adoption
A723687,Adoption
A723688,Adoption
A723688,Adoption
A723689,Adoption
A723690,Adoption
A723692,Euthanasia
A723693,Adoption
A723698,Adoption
A723702,Adoption
A723702,Adoption
A723703,Adoption
A723704,Return to Owner
A723704,Adoption
A723705,Return to Owner
A723708,Transfer
A723710,Return to Owner
A723712,Transfer
A723713,Transfer
A723714,Transfer
A723715,Return to Owner
A723716,Adoption
A723717,Transfer
A723718,Return to Owner
A723719,Adoption
A723721,Return to Owner
A723721,Return to Owner
A723723,Adoption
A723724,Adoption
A723726,Return to Owner
A723727,Euthanasia
A723728,Return to Owner
A723729,Return to Owner
A723730,Euthanasia
A723731,Adoption
A723732,Adoption
A723733,Adoption
A723734,Adoption
A723735,Transfer
A723736,Adoption
A723737,Adoption
A723738,Adoption
A723739,Transfer
A723739,Return to Owner
A723740,Adoption
A723741,Adoption
A723742,Adoption
A723744,Return to Owner
A723745,Adoption
A723746,Adoption
A723750,Euthanasia
A723751,Adoption
A723751,Adoption
A723752,Adoption
A723753,Adoption
A723755,Adoption
A723756,Adoption
A723756,Return to Owner
A723757,Transfer
A723758,Transfer
A723759,Transfer
A723760,Transfer
A723761,Adoption
A723762,Adoption
A723763,Adoption
A723765,Return to Owner
A723766,Adoption
A723767,Adoption
A723770,Return to Owner
A723773,Euthanasia
A723775,Euthanasia
A723777,Euthanasia
A723779,Transfer
A723780,Euthanasia
A723782,Return to Owner
A723783,Transfer
A723784,Euthanasia
A723785,Euthanasia
A723786,Euthanasia
A723787,Return to Owner
A723788,Adoption
A723789,Adoption
A723790,Adoption
A723794,Return to Owner
A723801,Euthanasia
A723803,Adoption
A723805,Euthanasia
A723806,Adoption
A723807,Adoption
A723809,Adoption
A723810,Return to Owner
A723813,Adoption
A723814,Adoption
A723815,Return to Owner
A723817,Adoption
A723818,Adoption
A723819,Return to Owner
A723820,Return to Owner
A723821,Adoption
A723823,Transfer
A723824,Adoption
A723825,Adoption
A723827,Adoption
A723828,Adoption
A723829,Euthanasia
A723830,Adoption
A723831,Euthanasia
A723832,Return to Owner
A723833,Euthanasia
A723834,Adoption
A723835,Return to Owner
